,RMSE,RMSE,RMSE,RMSE,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%
,Claude,GPT5,Grok,DeepSeek,Claude,GPT5,Grok,DeepSeek
0.04,3.996646662345186e-05,7.162382461668038e-08,7.162382461668038e-08,5.44279566712701e-06,0.012096061455030576,2.1677327454794914e-05,2.1677327454794914e-05,0.0016472907524457121
0.041,4.1774701816643304e-05,7.523184099425092e-08,7.523184099425092e-08,5.952050757576682e-06,0.012643845698019672,2.2770235279819225e-05,2.2770235279819225e-05,0.0018014924845160206
0.042,4.360731320282463e-05,7.8927329393654e-08,7.8927329393654e-08,6.494058813996267e-06,0.013199065719150293,2.3889731588333267e-05,2.3889731588333267e-05,0.0019656223411721636
0.043000000000000003,4.546299383015899e-05,8.271019410434356e-08,8.271019410434356e-08,7.069878468701774e-06,0.013761328504866176,2.5035794079536907e-05,2.5035794079536907e-05,0.0021400024921531904
0.044,4.7340425426868095e-05,8.658033910078368e-08,8.658033910078368e-08,7.680553503454946e-06,0.014330237591077565,2.620840051272803e-05,2.620840051272803e-05,0.0023249507274817507
0.045,4.9238279668517604e-05,9.05376680682426e-08,9.05376680682426e-08,8.32711153477159e-06,0.014905393442088778,2.7407528714884177e-05,2.7407528714884177e-05,0.0025207800617227188
0.046,5.1155219455564886e-05,9.458208454277144e-08,9.458208454277144e-08,9.01056280931305e-06,0.015486393832684606,2.8633156622814356e-05,2.8633156622814356e-05,0.00272779837139342
0.047,5.308990020034349e-05,9.87134919715243e-08,9.87134919715243e-08,9.73189911169149e-06,0.016072834233134447,2.988526230120683e-05,2.988526230120683e-05,0.0029463080662335407
0.048,5.504097112191328e-05,1.029317936208832e-07,1.029317936208832e-07,1.049209278695466e-05,0.016664308196647652,3.116382391460435e-05,3.116382391460435e-05,0.0031766057950243245
0.049,5.7007076547713824e-05,1.0723689275759065e-07,1.0723689275759065e-07,1.129209587887069e-05,0.01726040774896728,3.246881978203318e-05,3.246881978203318e-05,0.0034189821863011755
0.05,5.898685722091465e-05,1.1162869258392623e-07,1.1162869258392623e-07,1.2132839385130577e-05,0.017860723779776135,3.3800228357176005e-05,3.3800228357176005e-05,0.0036737216243039918
0.051000000000000004,6.097895161204991e-05,1.1610709631360934e-07,1.1610709631360934e-07,1.3015232629645544e-05,0.018464846435496354,3.515802825115364e-05,3.515802825115364e-05,0.003941102060225916
0.052000000000000005,6.298199723374136e-05,1.206720071926304e-07,1.206720071926304e-07,1.3940162751861743e-05,0.01907236551312886,3.654219823863855e-05,3.654219823863855e-05,0.004221394858745061
0.053,6.499463195734569e-05,1.2532332843310421e-07,1.2532332843310421e-07,1.4908494312201421e-05,0.019682870854789078,3.795271723763207e-05,3.795271723763207e-05,0.004514864679578408
