Element	Node1	Node2	Type	Length	Sample Points (every 200mm)

0	0	12	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
2200.0	0.008927	0.004327	-0.019867	-3.414839e-07	-5.239283e-06	-1.503392e-07
2400.0	0.009738	0.004721	-0.021673	-3.725279e-07	-5.715581e-06	-1.640064e-07
2600.0	0.010550	0.005114	-0.023479	-4.035719e-07	-6.191879e-06	-1.776736e-07
2800.0	0.011361	0.005507	-0.025285	-4.346159e-07	-6.668178e-06	-1.913408e-07
3000.0	0.012173	0.005901	-0.027091	-4.656599e-07	-7.144476e-06	-2.050080e-07

16	21	33	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.012173	0.005901	-0.027091	-4.656599e-07	-7.144476e-06	-2.050080e-07
200.0	0.014324	0.006699	-0.028296	-3.183242e-07	-7.619989e-06	-2.875444e-07
400.0	0.016476	0.007498	-0.029502	-1.709886e-07	-8.095501e-06	-3.700808e-07
600.0	0.018627	0.008297	-0.030708	-2.365297e-08	-8.571013e-06	-4.526171e-07
800.0	0.020778	0.009096	-0.031913	1.236827e-07	-9.046526e-06	-5.351535e-07
1000.0	0.022930	0.009894	-0.033119	2.710183e-07	-9.522038e-06	-6.176899e-07
1200.0	0.025081	0.010693	-0.034325	4.183539e-07	-9.997551e-06	-7.002263e-07
1400.0	0.027232	0.011492	-0.035530	5.656896e-07	-1.047306e-05	-7.827626e-07
1600.0	0.029384	0.012290	-0.036736	7.130252e-07	-1.094858e-05	-8.652990e-07
1800.0	0.031535	0.013089	-0.037942	8.603608e-07	-1.142409e-05	-9.478354e-07
2000.0	0.033686	0.013888	-0.039147	1.007696e-06	-1.189960e-05	-1.030372e-06
2200.0	0.035838	0.014687	-0.040353	1.155032e-06	-1.237511e-05	-1.112908e-06
2400.0	0.037989	0.015485	-0.041559	1.302368e-06	-1.285063e-05	-1.195444e-06
2600.0	0.040140	0.016284	-0.042764	1.449703e-06	-1.332614e-05	-1.277981e-06
2800.0	0.042291	0.017083	-0.043970	1.597039e-06	-1.380165e-05	-1.360517e-06
3000.0	0.044443	0.017881	-0.045176	1.744375e-06	-1.427716e-05	-1.443054e-06

17	33	45	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.044443	0.017881	-0.045176	1.744375e-06	-1.427716e-05	-1.443054e-06
